name,icon_url,rank_per_role
Valorant,/media/games/valorant/valorant_logo_-_pink_color_version__cropped.png,0
League of Legends,/media/games/league_of_legends/lol_1.png,0
Overwatch,/media/games/overwatch/overwatch-2.png,1
